Standard,3 5/8 x 2 1/4 x 8,Not modular,3 courses = 8"
Modular,3 5/8 x 2 1/4 x 7 5/8,4 x 2 2/3 x 8,3 courses = 8"
Norman,3 5/8 x 2 1/4 x 11 5/8,4 x 2 2/3 x 12,3 courses = 8" 
Roman,3 5/8 x 1 5/8 x 11 5/8,4 x 2 x 12,1 course = 2"
Jumbo,3 5/8 x 2 3/4 x 8,4 x 3 x 8,1 course = 3"
Economy,3 5/8 x 3 5/8 x 7 5/8,4 x 4 x 8,1 course = 4"
Engineer,3 5/8 x 2 13/16 x 7 5/8,4 x 3 1/5 x 8,5 courses = 16"
King,2 3/4 x 2 5/8 x 9 5/8,Not modular,5 courses = 16"
Queen,2 3/4 x 2 3/4 x 7 5/8,Not modular,5 courses = 16"
Utility,3 5/8 x 3 5/8 x 11 5/8,4 x 4 x 12,1 course = 4"
